NAME,URL,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,POWER,COMBAT,FULL_NAME,ALTER_EGOS,ALIASES,PLACE_OF_BIRTH,FIRST_APPEARANCE,CREATOR,ALIGNMENT,GENDER,RACE,HEIGHT,WEIGHT,EYE_COLOR,HAIR_COLOR,OCCUPATION,BASE,TEAM_AFFILIATION,RELATIVES,SKIN_COLOR,TOTAL_POWER
Deadman,/deadman/10-1472/,80,10,35,100,100,45,Boston Brand,No alter egos found.,-,-,"Strange Adventures #205 (October, 1967)",DC Comics,good,Male,Human,6'0 : 183 cm,201 lb : 90 kg,Blue,Black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead",Formerly: Black Lantern Corps,"Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",,370
Deadpool,/deadpool/10-835/,85,35,50,100,100,100,Wade Winston Wilson,"Deadpool (Ultimate), Evil Deadpool, Thorpool, Venompool","Wade Wilson, Jack, Chiyonosake (""the Wolf of the Rice Wine""), Rhodes, Corpus, Lopez, Hobgoblin, Thom Cruz, Peter Parker","Canada (North America, Earth)","New Mutants #98 (February, 1991)",Marvel Comics,neutral,Male,Mutant,6'2 : 188 cm,210 lb : 95 kg,Brown,No Hair,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Cavern-X, Sedona, Arizona, Mobile","Deadpool Corps (Leader), Agency X (Leader), X-Force, Deep Six, Super Soldiers, Weapon X, Secret Defenders, Gods, Formerly: S.H.I.E.L.D., Defenders, Thunderbolts, The Six, X-Men, Six Pack","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)",,470
Deadshot,/deadshot/10-670/,80,10,25,30,55,80,Floyd Lawton,Deadshot (DCEU),"Man Who Never Misses, Worlds Finest Assassin, Orlando Furioso",-,"Batman #59 (June, 1950)",DC Comics,bad,Male,Human,6'1 : 185 cm,202 lb : 91 kg,Brown,Brown,-,-,"Super Buddies, Extreme Justice, Living Assault Weapons, Minutemen, Suicide Squad, Formerly: The Society, Secret Six",-,,280
Deathlok,/deathlok/10-1304/,85,35,30,70,40,60,Luther Manning,No alter egos found.,Demolisher,-,"Astonishing Tales #25 (August, 1974)",Marvel Comics,good,Male,Cyborg,6'4 : 193 cm,395 lb : 178 kg,Brown,Grey,-,New York area,"Secret Defenders, Marvel Knights, X-Force, Formerly: X-Men","Janice (Wife, seperated), Richard (son)",,320
Deathstroke,/deathstroke/10-672/,90,30,35,100,50,90,Slade Joseph Wilson,"Deathstroke (DCEU), Deathstroke (Godkiller)","Slade Wilson, Deathstroke the Terminator, Batman",-,"New Teen Titans #2 (December, 1980)",DC Comics,neutral,Male,Human,6'4 : 193 cm,225 lb : 101 kg,Blue,White,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"Titans (Leader), Suicide Squad (Leader), League of Assassins, Justice League Elite, The Society, Justice Legion Alpha, Formerly: H.I.V.E","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",,395
Demogoblin,/demogoblin/10-1515/,80,50,45,35,70,60,-,No alter egos found.,Jason Macendale Jr,-,"Web of Spider-Man #86 (March, 1992)",Marvel Comics,bad,Male,Demon,6'1 : 185 cm,210 lb : 95 kg,Red,No Hair,Demonic Redeemer,New York City,"Carnage Family, The FIRM",-,,340
Destroyer,/destroyer/10-1294/,80,95,60,100,85,70,-,No alter egos found.,-,Created in Asgard,Journey into Mystery #118 (1965),Marvel Comics,bad,Male,-,6'2 : 188 cm,850 lb : 383 kg,-,-,-,-,"National Force, Formerly: Heralds of Galactus",-,,490
Diamondback,/diamondback/10-1404/,75,20,25,30,45,60,Willis Stryker,Diamondback (MCU),-,-,"Luke Cage, Hero for Hire#1 (1972)",Marvel Comics,bad,Male,Human,6'4 : 193 cm,200 lb : 90 kg,Brown,Black,Criminal,-,BAD Girls,-,,255
DL Hawkins,/dl-hawkins/10-943/,80,15,15,60,50,60,Daniel Lawrence Hawkins,No alter egos found.,-,-,Heroes S01E05 - Hiros,NBC - Heroes,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,"Construction worker, Firefighter","Las Vegas, NV",No team connections added yet.,"Niki Sanders (wife), Micah Sanders (son), Paulette Hawkins (mother), Monica Dawson (cousin), Damon Dawson (cousin)",,280
Doc Samson,/doc-samson/10-54/,90,80,35,80,40,70,Leonard Samson,No alter egos found.,-,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",Marvel Comics,good,Male,Human / Radiation,6'6 : 198 cm,380 lb : 171 kg,Blue,Green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Mobile, formerly Gamma Base, New Mexico",No team connections added yet.,Leonard Skivorski (father); Ricky Myers (son);,,395
Doctor Doom,/doctor-doom/10-189/,100,35,20,100,100,85,Victor von Doom,"All-Father Doom, Doctor Doom (FOX), Doctor Doom (Sorceror Supreme), Doctor Doomsday, God Emperor Doom, Iron Man II","The Master, Invincible Man","Haasenstadt, Latveria",Fantastic Four #5 (July 1962),Marvel Comics,bad,Male,Human,6'7 : 201 cm,415 lb : 187 kg,Brown,Brown,Monarch,"Castle Doom, Doomstadt, Latveria","Avenging Host, Formerly: Future Foundation","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",,440
Doctor Doom II,/doctor-doom-ii/10-1018/,95,75,55,75,80,70,Kristoff Vernard,No alter egos found.,"Victor Von Doom, Dr Doom","Doomstadt, Latveria","Fantastic Four #247 (1982, as Kristoff), Fantastic Four #278 (1985, as Doctor Doom)",Marvel Comics,bad,Male,-,6'7 : 201 cm,293 lb : 132 kg,Brown,Brown,-,"Former monarch, would-be conqueror",No team connections added yet.,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)",,450
Doctor Fate,/doctor-fate/10-676/,95,20,25,80,100,50,Kent Nelson,Doctor Fate (Power Of Nabu),Nabu,-,"More Fun Comics #55 (May, 1940)",DC Comics,good,Male,Human,6'2 : 188 cm,197 lb : 89 kg,Blue,Blond,-,"Tower of Fate, Salem, Massachusetts","All-Star Squadron, Formerly: Justice Society of America, Justice League","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",,370
Doctor Octopus,/doctor-octopus/10-622/,100,50,35,40,55,65,Otto Octavius,No alter egos found.,"Doctor Octopus, Doc Ock, The Master Planner, The Master Programmer, Peter Benjamin Parker, Superior Spider-Man, Venom, Superior Venom","Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Male,Human,5'9 : 175 cm,245 lb : 110 kg,Brown,Brown,"Former atomic-research consultant, criminal mastermind",New York City,"The FIRM (Leader), Sinister Six (Leader), Formerly: Avengers, HYDRA",-,,345
Doctor Strange,/doctor-strange/10-55/,100,10,15,85,100,60,Stephen Vincent Strange,Doctor Strange (MCU),"Sorcerer Supreme, Master of the Mystic Arts, Stephen Sanders, Captain Universe, Vincent Stevens","Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,Male,Human,6'2 : 188 cm,180 lb : 81 kg,Grey,Black,"Sorcerer Supreme, retired neurosurgeon",-,"Defenders (Leader), Neo-Knights (Leader), Secret Defenders, Marvel Knights, New Warriors, Ultimate Fantastic Four, New Avengers, Formerly: Avengers, Midnight Sons","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",,370
Domino,/domino/10-902/,85,10,30,30,50,75,Neena Thurman,Domino (FOX),"Dom, Samantha Wu, Tamara Winter, Elena Vladescu, Jessica Marie Costello, Luisa Mendoza, Beatrice, Christina Elizabeth Alioso, Priscilla Sutherland, Hope Eldridge","Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,Female,Human,5'8 : 173 cm,120 lb : 54 kg,Blue,Black,-,-,"Brotherhood of Mutants, Formerly: X-Men, X-Force, Six Pack","Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",White,280
Donatello,/donatello/10-10330/,95,15,50,60,60,75,-,No alter egos found.,"Don, Donnie",-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,Male,Mutant,- : 0 cm,- lb : 0 kg,Green,No Hair,-,-,Teenage Mutant Ninja Turtles,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",Green,355
Donna Troy,/donna-troy/10-806/,90,90,85,90,85,95,Donna Hinckley Stacey Troy,No alter egos found.,"Donna Troy, Wonder Girl, Darkstar, Wonder Woman, Troia",-,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,Female,Amazon,5'9 : 175 cm,140 lb : 63 kg,Blue,Black,-,-,"Teen Titans, Formerly: Black Lantern Corps",-,,535
Doomsday,/doomsday/10-679/,90,100,70,100,100,90,Doomsday,No alter egos found.,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad,Male,Alien,8'0 : 244 cm,915 lb : 412 kg,Red,White,Destroyer,-,"Secret Society of Super-Villains, Formerly: Justice League Elite",-,,550
Doppelganger,/doppelganger/10-1320/,50,65,60,95,70,85,-,No alter egos found.,"The Spider-Man Doppelganger, Spider-Doppelganger, Mindless One",The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,Male,-,6'5 : 196 cm,230 lb : 104 kg,White,No Hair,-,-,Carnage Family,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",,425
Dormammu,/dormammu/10-1359/,95,95,85,100,100,80,Dormammu,Dormammu (MCU),"The Dread One, Eater of Souls, Lord of Chaos, Lord of Darkness, the Great Enigma, Flyx",Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,Male,-,6'1 : 185 cm,- lb : 0 kg,Yellow,No Hair,"Despot, conqueror",-,"Gods, Demons, Titans","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",,555
Dr Manhattan,/dr-manhattan/10-884/,100,100,45,100,100,45,Jonathan Osterman,Doctor Manhattan (Watchmen),"Jon Osterman, Doctor Manhattan",-,"Watchmen #1 (September, 1986)",DC Comics,good,Male,Human / Cosmic,- : 0 cm,- lb : 0 kg,White,No Hair,Scientist,New York City; formerly Mars,"Formerly: Watchmen, The Crimebusters",-,Blue,490
Drax the Destroyer,/drax-the-destroyer/10-10016/,80,80,25,85,50,65,Arthur Sampson Douglas,Drax The Destroyer (MCU),-,"Burbank, California","Iron Man #55 (February, 1973)",Marvel Comics,good,Male,Human / Altered,6'4 : 193 cm,680 lb : 306 kg,Red,No Hair,-,C.I.T.T.; formerly Monster Isle and Titan,"Guardians of the Galaxy, Marvel Knights","Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",Green,385
Ego,/ego/10-6/,95,80,85,100,75,30,Ego,Ego (MCU),The Living Planet,The Black Galaxy,THOR #132,Marvel Comics,bad,-,-,- : 0 cm,- lb : 0 kg,-,-,Inapplicable,Mobile,"Gods, Elders of the Universe",Inapplicable,,465
Elastigirl,/elastigirl/10-870/,85,35,35,95,55,70,Helen Parr,No alter egos found.,Mrs Incredible,-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Female,Human,5'6 : 168 cm,125 lb : 56 kg,Brown,Brown,-,-,Incredible Family,"Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",,375
Electro,/electro/10-7/,85,10,50,60,70,65,Maxwell Dillon,Symbiote Electro,-,-,Amazing Spider-Man #9 (1964),Marvel Comics,bad,Male,Human,5'11 : 180 cm,165 lb : 74 kg,Blue,Auburn,Professional criminal,-,"The FIRM, Superiour Six, Sinister Seven, Secret Empire, Sinister Six, Formerly: Black Cat's Gang, Frightful Four","Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)",,340
Elektra,/elektra/10-625/,85,15,30,30,60,100,Elektra Natchios,Elektra (MCU),Erynys (evil self),-,Daredevil #168,Marvel Comics,good,Female,Human,5'9 : 175 cm,130 lb : 59 kg,Blue,Black,"Assassin, adventurer, mercenary, former student, dancer",-,"The Hand, Formerly: Thunderbolts, Marvel Knights, Chaste, Code Red, Avengers","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)",,320
Elle Bishop,/elle-bishop/10-1021/,80,10,15,45,65,45,-,No alter egos found.,Cindy,-,Heroes S02E05 - Fight or Flight,NBC - Heroes,bad,Female,-,- : 0 cm,- lb : 0 kg,Blue,Blond,Agent of the Company,-,No team connections added yet.,Bob Bishop (Father),,260
Elongated Man,/elongated-man/10-1381/,90,10,35,90,45,40,Ralph Dibny,Elongated Man (CW),Alvin Burgson; Molder,-,Flash #112 (1960),DC Comics,good,Male,-,6'1 : 185 cm,178 lb : 80 kg,Blue,Red,Detective,"Opal City, Central City","Justice Legion Alpha, Justice League Europe, Formerly: Justice League of America, Justice League, Secret Six","Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)",,310
Emma Frost,/emma-frost/10-325/,90,65,35,90,100,45,Emma Frost,"Phoenix, White Queen","Storm, White Queen","Boston, Massachusetts",UNCANNY X-MEN #132,Marvel Comics,good,Female,-,5'10 : 178 cm,144 lb : 65 kg,Blue,Blond,-,"(current) Emma Frost operates from the Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club mansion in New York City, a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy), and places of residence in vari","Generation X (Leader), Hellfire Club, Formerly: X-Men, Dark X-Men","Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)",,425
Enchantress,/enchantress/10-687/,85,15,25,60,100,40,-,Enchantress (DCEU),"Anita Soulfeeda, Soulsinger",-,Strange Adventures #187,DC Comics,good,Female,Human,5'6 : 168 cm,126 lb : 57 kg,Blue,Blond,Artist; Magician,-,"Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad, Formerly: Super Buddies",-,,325
Energy,/energy/10-1155/,80,80,85,80,85,75,-,No alter egos found.,-,-,-,HarperCollins,good,Female,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,485
ERG-1,/erg-1/10-1187/,,,,,,,-,No alter egos found.,-,-,-,DC Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Etrigan,/etrigan/10-10429/,80,85,20,100,100,50,Jason Blood,No alter egos found.,Demon,Hell,"Demon #1 (September, 1972)",DC Comics,neutral,Male,Demon,6'4 : 193 cm,452 lb : 203 kg,Red,No Hair,-,Hell,Demon Knights,"Belial (father), Raan va Daath (mother), Merlin (half Brother)",Yellow,435
Evil Deadpool,/evil-deadpool/10-10090/,85,35,50,100,100,100,-,"Deadpool, Deadpool (Ultimate), Thorpool, Venompool",Dreadpool,-,"Deadpool Vol 2 #44 (December, 2011)",Marvel Comics,bad,Male,Mutant,6'2 : 188 cm,210 lb : 95 kg,White,Red,"Mercenary, Assasin",-,"Deadpool Corps, Formerly: Evil Deadpool Corps",-,,470
Evilhawk,/evilhawk/10-1516/,80,35,35,70,85,65,Dargin Bokk,No alter egos found.,-,-,"Darkhawk #20 (October, 1992)",Marvel Comics,bad,Male,Alien,6'3 : 191 cm,235 lb : 106 kg,Red,Black,Crimelord,(Formerly) planet Luq,No team connections added yet.,-,Green,370
Exodus,/exodus/10-1517/,85,85,30,30,100,70,Bennet du Paris,No alter egos found.,Paris Bennet,-,"X-Factor #92 (July, 1993)",Marvel Comics,bad,Male,Mutant,6'0 : 183 cm,195 lb : 88 kg,Blue,Black,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader","Currently mobile, Formerly Avalon",Acolytes,-,Red,400
Fabian Cortez,/fabian-cortez/10-24/,,,,,,,Fabian Cortez,No alter egos found.,-,Place of birth unknown,X-Men (Vol. 2) #1,Marvel Comics,bad,-,-,6'5 : 196 cm,214 lb : 96 kg,Blue,Brown,Unknown,Genosha at time of death; Formerly Asteroid M,Acolytes (Leader),"Annemarie Cortez (sister, deceased)",,0
Falcon,/falcon/10-56/,75,15,50,30,25,65,Samuel Thomas Wilson,"Captain America, Falcon (MCU)","Sam Wilson, (formerly) Captain America, Blackbird, Blackwing, Brother Superhero","New York, New York","Captain America #117 (September, 1969)",Marvel Comics,good,Male,Human,6'2 : 188 cm,240 lb : 108 kg,Brown,Black,"Crimefighter, (former) freelance artist","New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.","The Mighty Avengers, Marvel Knights, Formerly: Avengers","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)",,260
Fallen One II,/fallen-one-ii/10-1051/,95,85,85,100,100,60,-,No alter egos found.,-,-,-,Marvel Comics,bad,Male,-,- : 0 cm,- lb : 0 kg,Black,Blue,-,-,Formerly: Heralds of Galactus,-,,525
Faora,/faora/10-1502/,95,95,75,100,100,90,Faora Hu-Ul,No alter egos found.,Katie,-,"Action Comics #471 (May, 1977)",DC Comics,bad,Female,Kryptonian,- : 0 cm,- lb : 0 kg,-,-,Serial killer,Phantom Zone; formerly Krypton,No team connections added yet.,"Hu-Ul (father, presumably deceased)",,555
Feral,/feral/10-57/,75,30,45,30,30,70,Maria Callasantos,No alter egos found.,-,Place of birth unknown,NEW MUTANTS #99,Marvel Comics,good,-,-,5'9 : 175 cm,110 lb : 50 kg,Yellow (without irises),Orange / White,"Formerly Adventurer, Terrorist",Base of operations unknown,X-Factor,"Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)",,280
Fighting Spirit,/fighting-spirit/10-1167/,,,,,,,Carol Carter,No alter egos found.,"Yankette, Fighting Yank II",-,-,DC Comics,good,Female,-,- : 0 cm,- lb : 0 kg,-,Red,-,"SMASH HQ, Antarctica, Earth; New Lancaster",No team connections added yet.,Bruce Carter (father),,0
Fin Fang Foom,/fin-fang-foom/10-1518/,80,85,25,100,75,70,-,No alter egos found.,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),-,-,Marvel Comics,good,Male,Kakarantharaian,32'0 : 975 cm,40000 lb : 18 tons,Red,No Hair,-,"New York, formerly Valley of the Sleeping Dragon in China",National Force,Fraktur (cousin),Green,435
Firebird,/firebird/10-58/,75,10,40,15,100,45,Bonita Juarez,No alter egos found.,"Pajaro Del Fuego, La Espirita, Firemaiden","Buena Vista, New Mexico",INCREDIBLE HULK Vol. 2 #265,Marvel Comics,good,Female,-,5'5' : 165 cm,125 lb : 56 kg,Brown,Black,"Social worker, adventurer",New Mexico,"Formerly: Avengers, Avengers West Coast",-,,285
Firelord,/firelord/10-59/,75,65,75,90,55,30,Pyreus Kril,No alter egos found.,Nova Centurion,"Xander, planet in Tranta System, Andromeda Galaxy",THOR Vol. 1 #225,Marvel Comics,good,-,-,6'4 : 193 cm,220 lb : 99 kg,White,Yellow,"Former starship captain, former herald of Galactus",Mobile; usually in space,"Formerly: Heralds of Galactus, Guardians of the Galaxy",-,,390
Firestar,/firestar/10-60/,80,10,55,55,75,35,Angelica Jones,No alter egos found.,"Angel, Anj, Lady Comet",Place of birth unknown,"Uncanny X-Men #193 (May, 1985)",Marvel Comics,good,Female,Mutant,5'8 : 173 cm,125 lb : 56 kg,Green,Red,Student,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; and formerly Massachusetts Academy, Snow Valley, Massachusetts","Inhumans, Avengers Resistance, Formerly: Avengers","Bartholomew Jones (father), Nana (grandmother)",,310
Firestorm,/firestorm/10-689/,80,55,60,60,100,45,Jason Rusch,No alter egos found.,The Nuclear Man,-,Firestorm (Volume 3) #1,DC Comics,good,Male,-,- : 0 cm,- lb : 0 kg,Brown,Black,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,"Detroit, Michigan","Firestorm Matrix, Formerly: Justice League",Alvin Rusch (father),,400
Firestorm,/firestorm/10-10395/,75,80,60,80,100,40,Ronald Raymond,Firestorm (CW),"Ronnie, Roy, Ronald Rockwell, Flamehead",-,"Firestorm #1 (March, 1978)",DC Comics,good,Male,Human,6'2 : 188 cm,202 lb : 91 kg,Blue,Auburn,Adventurer; former employee of Bun 'n Run,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania","Firestorm Matrix, Superfriends, Formerly: Black Lantern Corps, Justice Legion Alpha","Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)",,435
Fixer,/fixer/10-9/,90,70,70,75,70,65,Paul Norbert Ebersol,No alter egos found.,Fixer,"Dayton, Ohio",(as Fixer) STRANGE TALES #141,Marvel Comics,bad,-,-,- : 0 cm,- lb : 0 kg,Red,No Hair,Criminal inventor,Mount Charteris,"America Redeemers, Thunderbolts, Masters of Evil",No known relatives,,440
Flash,/flash/10-891/,85,10,100,50,70,35,Jason Peter Garrick,The Flash (CW),"Jay Garrick, Siegfreid the Speedster","Hibbardsville, Kansas",Flash Comics #1 (January 1940),DC Comics,good,Male,Human,5'11 : 180 cm,179 lb : 81 kg,Blue,Brown / White,"Research Scientist, part-time Director of Garrick Laboratories","Keystone City, Kansas","Flash Family, All-Star Squadron, Justice Legion Alpha, Formerly: Justice League","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)",,350
Flash II,/flash-ii/10-892/,95,50,100,60,100,60,Bartholomew Henry Allen,"Black Flash II, Black Racer, Blue Lantern, Flash (CW), Flash (CW), Flash (New 52), Negative Flash, Parallax, Savitar, Savitar (CW), Savitar II, The Flash (DCEU)","The Scarlet Speedster, the Fastest Man Alive, the Monarch of Motion, the Sultan of Speed","Fallville, Iowa","Showcase #4 (October, 1956)",DC Comics,good,Male,Human,6'0 : 183 cm,195 lb : 88 kg,Blue,Blond,Forensic Scientist,"Central City, Missouri","Justice Legion Alpha (Leader), Blue Lantern Corps, Flash Family, Flash Family, Superfriends, Justice League, Justice League Antarctica, Formerly: Justice League of America","Henry and Nora (parents), Malcolm Thawne (twin), Iris West Allen (wife), Wally West (Flash III, nephew), Don and Dawn Allen (son and daughter), Bart Allen (Flash IV, grandson), Jenni Ognats (granddaughter)",,465
Flash III,/flash-iii/10-690/,85,10,100,60,100,35,Wallace Rudolph West,"Flash Unlocked, Kid Flash (CW), Speed Demon, Wally West (DC Rebirth Version)","The Fastest Man Alive, The Scarlet Speedster; formerly, Kid Flash I","Blue Valley, Nebraska","Flash #110 (January, 1960)",DC Comics,good,Male,Human,6'0 : 183 cm,190 lb : 86 kg,-,-,"Adventurer, Mechanic for the KCPD","Keystone City, Kansas","Flash Family, Titans, Teen Titans, Justice League Elite, Justice League Europe, Teen Titans, Formerly: Justice League","Rudolph and Mary West (parents), Ira West (grandfather), Iris Allen (aunt), Barry Allen (Flash II, uncle), Linda Park West (wife), Jai and Iris West (twin children)",,390
Flash IV,/flash-iv/10-893/,85,10,100,35,100,50,Bartholomew Allen II,"Impulse, Kid Flash II","Impulse, Kid Flash II",-,(as Impulse) Flash v.2 #91 (June 1994)* (as Kid Flash) Teen Titans v.3 #4 (December 2003),DC Comics,good,Male,Human,5'2 : 157 cm,115 lb : 52 kg,Yellow,Auburn,Police trainee,"Los Angeles, California (previously Manchester, Alabama, briefly Denver, Colorado, then Keystone City, Kansas)",Flash Family,"Barry Allen (Flash II, grandfather), Iris West Allen (grandmother), Don Allen (father), Meloni Thawne (mother), President Thawne (grandfather), Dawn Allen (aunt), Jenni Ognats (cousin), Thaddeus Thawne (clone), Owen Mercer (half-brother), Max Crandall (guardian)",,380
Forge,/forge/10-62/,85,10,15,30,25,50,-,No alter egos found.,"The Maker, Cheyenne","Unrevealed, presumably in the American West",Uncanny X-Men #184,Marvel Comics,good,-,-,6' : 183 cm,180 lb : 81 kg,Brown,Black,"Inventor working for the U.S. government, former soldier","Arlington, Virginia",No team connections added yet.,-,,215
Franklin Richards,/franklin-richards/10-63/,85,80,50,60,100,50,Franklin Benjamin Richards,No alter egos found.,"Franklin Benjamin, Tattletale, Psi-Lord, Ego-Spawn, Avatar","New York, New York",Fantastic Four Annual #6,Marvel Comics,good,Male,Mutant,4'8 : 142 cm,100 lb : 45 kg,Blue,Blond,Student,"Baxter Building, New York, New York (formerly) Four Freedoms Plaza; Pier 4; Massachusetts Academy","Future Foundation, Gods, Formerly: Power Pack, Generation X, Daydreamers","Reed Richards (Mister Fantastic, father), Susan Storm Richards (Invisible Woman, mother), Valeria Richards (sister), Jonathan Storm (Human Torch, uncle), Nathaniel Richards (paternal grandfather), Franklin Storm (maternal grandfather, deceased), Evelyn Richards, Mary Storm (grandmothers (paternal and maternal respectively), deceased), Benjamin J. Grimm (Thing, godfather), Alicia Masters (godmother).",,425
Franklin Storm,/franklin-storm/10-170/,75,10,5,5,0,10,Dr. Franklin Storm,No alter egos found.,Franklin Storm was erroneously believed to be the first Invincible Man,Place of birth unknown,FANTASTIC FOUR #31,Marvel Comics,good,-,-,6'2 : 188 cm,205 lb : 92 kg,Blue,Grey,Surgeon,Inapplicable,No team connections added yet.,"Mary Storm (wife, deceased), Susan Storm Richards (Invisible Woman, daughter), Jonathan Storm (Human Torch, son), Franklin Richards (grandson), Reed Richards (Mister Fantastic, son-in-law)",,105
Frenzy,/frenzy/10-1108/,85,55,35,100,40,55,Joanna Cargill,No alter egos found.,-,-,X-Factor Vol 1 #4,Marvel Comics,bad,Female,-,6'11 : 211 cm,230 lb : 104 kg,Brown,Black,Mercenary,Mobile; formerly Avalon in Earth orbit; Genosha; California,"Alliance of Evil, Acolytes, Formerly: X-Men",-,,370
Frigga,/frigga/10-172/,75,80,50,85,85,65,Frigga,No alter egos found.,Fricka,Place of birth unknown,JOURNEY INTO MYSTERY #92,Marvel Comics,good,Female,-,5'11 : 180 cm,370 lb : 167 kg,Blue,White,"Queen of Asgard, goddess of marriage",Asgard,"Asgardians, Formerly: Marvel Knights","Odin (husband), Loki, Thor (foster sons)",,440
